lat	lon	name	description	operator	website	wikipedia	flickr	source	method	electricity	hot_water	cold_water	hot_air	cold_air	steam	57.6853270	-5.6440740														
52.5390917	-6.2360507	Ballywater Wind Farm (12)		Ballywater Windfarms Ltd				wind		2 MW					
52.5388229	-6.2400412	Ballywater Wind Farm (8)		Ballywater Windfarms Ltd				wind		2 MW					
52.5413707	-6.237146	Ballywater Wind Farm (10)		Ballywater Windfarms Ltd				wind		2 MW					
52.5418226	-6.2332772	Ballywater Wind Farm (11)		Ballywater Windfarms Ltd				wind		2 MW					
52.5366879	-6.2382733	Ballywater Wind Farm (13)		Ballywater Windfarms Ltd				wind		2 MW					
52.5393528	-6.2321755	Ballywater Wind Farm (15)		Ballywater Windfarms Ltd				wind		2 MW					
52.5369373	-6.2304588	Ballywater Wind Farm (16)		Ballywater Windfarms Ltd				wind		2 MW					
52.5342801	-6.2376072	Ballywater Wind Farm (14)		Ballywater Windfarms Ltd				wind		2 MW					
52.5363918	-6.2346735	Ballywater Wind Farm (17)		Ballywater Windfarms Ltd				wind		2 MW					
52.5321527	-6.2360186	Ballywater Wind Farm (18)		Ballywater Windfarms Ltd				wind		2 MW					
52.5320124	-6.2310865	Ballywater Wind Farm (19)		Ballywater Windfarms Ltd				wind		2 MW					
52.5307733	-6.2280376	Ballywater Wind Farm (20)		Ballywater Windfarms Ltd				wind		2 MW					
53.4162729	-4.4827258	Wylfa Nuclear Power Station													
53.4359307	-3.4680632							wind		yes					
53.0664017	-4.0109163	Cym Dyli Power Station													
53.3640351	-2.0001463														
52.8765852	-1.4896522							wind		yes					
53.2984842	-1.0743409			Ecotricity				wind							
53.3603912	-0.8113641	West Burton Power Station		EDF Energy		http://en.wikipedia.org/wiki/West_Burton_Power_Station									
53.3038046	-0.7814178	Cottam Power Station		EDF Energy		http://en.wikipedia.org/wiki/Cottam_Power_Station		coal		yes					
52.9119447	-1.2064459	Beeston Weir Hydroelectric Power Station													
52.7657623	-1.2294108							wind		yes					
52.3991531	-1.9322954							wind		yes					
52.5880336	-1.084953														
52.7193364	-0.7820667							wind		yes					
52.5611468	-0.1803256							wind		yes					
52.5608406	-0.1773537							wind		yes					
52.56237	-0.1761528							wind		yes					
52.556601	-0.1711399							wind		yes					
52.4626265	-0.119876			Cornwall Light &amp; Power				wind		yes					
52.0392364	-0.7094997							wind		yes					
52.0393761	-0.7095451							wind		yes					
52.0393209	-0.7097228							wind		yes					
52.3660442	-0.6564651							wind		yes					
52.3632245	-0.6569371							wind		yes					
52.3636962	-0.6529632							wind		yes					
